"filename", "language", "TypeScript", "vue", "JSON", "SCSS", "JavaScript", "XML", "comment", "blank", "total"
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/App.vue", "vue", 0, 15, 0, 0, 0, 0, 0, 4, 19
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/api_mocks/adminUser.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/api_mocks/cubicle.ts", "TypeScript", 318, 0, 0, 0, 0, 0, 0, 5, 323
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/api_mocks/device.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/api_mocks/index.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/api_mocks/openApi.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/api_mocks/staffUser.ts", "TypeScript", 337, 0, 0, 0, 0, 0, 0, 8, 345
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/api_mocks/toilet.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 5, 47
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/apis/adminUser.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/apis/auth.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/apis/device.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 5, 40
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/apis/index.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/apis/openApi.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/apis/staffUser.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 8, 56
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/apis/toilet.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 9, 63
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/NotFoundImage.vue", "vue", 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/VuesticLogo.stories.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/VuesticLogo.vue", "vue", 0, 54, 0, 0, 0, 0, 0, 5, 59
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/app-layout-navigation/AppLayoutNavigation.vue", "vue", 0, 84, 0, 0, 0, 0, 0, 13, 97
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconCleanCode.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 4, 41
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconColor.vue", "vue", 0, 36, 0, 0, 0, 0, 0, 3, 39
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconFaster.vue", "vue", 0, 25, 0, 0, 0, 0, 1, 2, 28
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconFree.vue", "vue", 0, 42, 0, 0, 0, 0, 0, 5, 47
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconFresh.vue", "vue", 0, 31, 0, 0, 0, 0, 0, 4, 35
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconGitHub.vue", "vue", 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconHideSidebar.vue", "vue", 0, 22, 0, 0, 0, 0, 0, 1, 23
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconMenu.vue", "vue", 0, 28, 0, 0, 0, 0, 0, 3, 31
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconMenuCollapsed.vue", "vue", 0, 30, 0, 0, 0, 0, 0, 3, 33
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconMessage.vue", "vue", 0, 25, 0, 0, 0, 0, 0, 3, 28
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconNotification.vue", "vue", 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconResponsive.vue", "vue", 0, 26, 0, 0, 0, 0, 0, 4, 30
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconRich.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 4, 41
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconSlower.vue", "vue", 0, 25, 0, 0, 0, 0, 1, 2, 28
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconVue.vue", "vue", 0, 31, 0, 0, 0, 0, 0, 4, 35
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/icons/VaIconVuestic.vue", "vue", 0, 46, 0, 0, 0, 0, 0, 2, 48
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/navbar/AppNavbar.vue", "vue", 0, 63, 0, 0, 0, 0, 3, 13, 79
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/navbar/components/AppNavbarActions.vue", "vue", 0, 48, 0, 0, 0, 0, 0, 13, 61
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/navbar/components/GitHubButton.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 2, 16
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/navbar/components/dropdowns/NotificationDropdown.vue", "vue", 0, 162, 0, 0, 0, 0, 0, 19, 181
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/navbar/components/dropdowns/ProfileDropdown.vue", "vue", 0, 132, 0, 0, 0, 0, 0, 12, 144
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/sidebar/AppSidebar.vue", "vue", 0, 102, 0, 0, 0, 0, 0, 16, 118
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/sidebar/NavigationRoutes.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 21, 2, 75
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/typography/Typography.stories.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/typography/Typography.vue", "vue", 0, 206, 0, 0, 0, 0, 0, 5, 211
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/VaChart.vue", "vue", 0, 39, 0, 0, 0, 0, 0, 9, 48
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/BarChart.vue", "vue", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/BubbleChart.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/DoughnutChart.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/HorizontalBarChart.vue", "vue", 0, 22, 0, 0, 0, 0, 0, 5, 27
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/LineChart.vue", "vue", 0, 59, 0, 0, 0, 0, 0, 14, 73
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/Map.vue", "vue", 0, 59, 0, 0, 0, 0, 0, 8, 67
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/chart-types/PieChart.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/external-tooltip.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 7, 24, 118
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-charts/vaChartConfigs.js", "JavaScript", 0, 0, 0, 0, 103, 0, 0, 5, 108
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-medium-editor/VaMediumEditor.vue", "vue", 0, 158, 0, 0, 0, 0, 0, 33, 191
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-medium-editor/_variables.scss", "SCSS", 0, 0, 0, 7, 0, 0, 1, 2, 10
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/components/va-timeline-item.vue", "vue", 0, 73, 0, 0, 0, 0, 0, 10, 83
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/i18n/index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/i18n/locales/cn.json", "JSON", 0, 0, 195, 0, 0, 0, 0, 0, 195
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/i18n/locales/gb.json", "JSON", 0, 0, 184, 0, 0, 0, 0, 0, 184
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/layouts/AppLayout.vue", "vue", 0, 75, 0, 0, 0, 0, 0, 17, 92
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/layouts/AuthLayout.vue", "vue", 0, 44, 0, 0, 0, 0, 0, 4, 48
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/layouts/RouterBypass.vue", "vue", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/main.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/404.vue", "vue", 0, 25, 0, 0, 0, 0, 0, 6, 31
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/adminUsers/UsersPage.vue", "vue", 0, 41, 0, 0, 0, 0, 14, 12, 67
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/adminUsers/composables/useUsers.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 9, 45
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/adminUsers/widgets/EditUserForm.vue", "vue", 0, 39, 0, 0, 0, 0, 0, 10, 49
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/adminUsers/widgets/UsersTable.vue", "vue", 0, 65, 0, 0, 0, 0, 33, 14, 112
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/auth/Login.vue", "vue", 0, 45, 0, 0, 0, 0, 0, 8, 53
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/BillingPage.vue", "vue", 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/Invoices.vue", "vue", 0, 78, 0, 0, 0, 0, 0, 17, 95
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/MembeshipTier.vue", "vue", 0, 99, 0, 0, 0, 0, 0, 7, 106
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/PaymentInfo.vue", "vue", 0, 79, 0, 0, 0, 0, 0, 14, 93
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/modals/ChangeYourPaymentPlan.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 6, 49
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/billing/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/ToiletDetail.vue", "vue", 0, 23, 0, 0, 0, 0, 0, 6, 29
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/payment-system/PaymentSystem.stories.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/payment-system/PaymentSystem.vue", "vue", 0, 12, 0, 0, 0, 0, 0, 3, 15
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/types.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/widgets/CubicleForm.vue", "vue", 0, 35, 0, 0, 0, 0, 0, 10, 45
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/widgets/CubicleList.vue", "vue", 0, 85, 0, 0, 0, 0, 0, 10, 95
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/cubicle/widgets/CubicleListItem.vue", "vue", 0, 25, 0, 0, 0, 0, 0, 5, 30
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/Dashboard.vue", "vue", 0, 19, 0, 0, 0, 0, 0, 2, 21
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/DataSection.vue", "vue", 0, 76, 0, 0, 0, 0, 0, 5, 81
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/DataSectionItem.vue", "vue", 0, 39, 0, 0, 0, 0, 0, 4, 43
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/MonthlyEarnings.vue", "vue", 0, 62, 0, 0, 0, 0, 0, 4, 66
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/RegionRevenue.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 3, 40
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/RevenueByLocationMap.vue", "vue", 0, 53, 0, 0, 0, 0, 0, 9, 62
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/RevenueReportChart.vue", "vue", 0, 98, 0, 0, 0, 0, 0, 14, 112
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/dashboard/cards/Timeline.vue", "vue", 0, 102, 0, 0, 0, 0, 0, 3, 105
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/devices/BillingPage.vue", "vue", 0, 15, 0, 0, 0, 0, 0, 5, 20
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/devices/Invoices.vue", "vue", 0, 54, 0, 0, 0, 0, 0, 10, 64
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/devices/modals/ChangeYourPaymentPlan.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 6, 49
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/openApi/BillingPage.vue", "vue", 0, 15, 0, 0, 0, 0, 0, 5, 20
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/openApi/Invoices.vue", "vue", 0, 78, 0, 0, 0, 0, 0, 17, 95
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/openApi/modals/ChangeYourPaymentPlan.vue", "vue", 0, 43, 0, 0, 0, 0, 0, 6, 49
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/openApi/types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/Preferences.vue", "vue", 0, 19, 0, 0, 0, 0, 0, 3, 22
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/modals/EditNameModal.vue", "vue", 0, 44, 0, 0, 0, 0, 0, 9, 53
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/modals/ResetPasswordModal.vue", "vue", 0, 93, 0, 0, 0, 0, 0, 10, 103
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/preferences-header/PreferencesHeader.vue", "vue", 0, 9, 0, 0, 0, 0, 0, 2, 11
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/settings/Settings.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 4, 41
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/preferences/styles.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/settings/Settings.vue", "vue", 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/settings/language-switcher/LanguageSwitcher.vue", "vue", 0, 32, 0, 0, 0, 0, 0, 9, 41
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/settings/theme-switcher/ThemeSwitcher.vue", "vue", 0, 22, 0, 0, 0, 0, 0, 7, 29
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/staffUsers/UsersPage.vue", "vue", 0, 49, 0, 0, 0, 0, 14, 13, 76
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/staffUsers/composables/useUsers.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 11, 65
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/staffUsers/widgets/EditUserForm.vue", "vue", 0, 46, 0, 0, 0, 0, 0, 11, 57
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/staffUsers/widgets/UsersTable.vue", "vue", 0, 82, 0, 0, 0, 0, 33, 16, 131
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/ToiletsPage.vue", "vue", 0, 85, 0, 0, 0, 0, 0, 19, 104
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/composables/useProjects.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 9, 48
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/widgets/EditProjectForm.vue", "vue", 0, 50, 0, 0, 0, 0, 0, 12, 62
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/widgets/ToiletCards.vue", "vue", 0, 47, 0, 0, 0, 0, 0, 5, 52
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/pages/toilets/widgets/ToiletTable.vue", "vue", 0, 71, 0, 0, 0, 0, 33, 9, 113
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/router/index.ts", "TypeScript", 113, 0, 0, 0, 0, 0, 6, 10, 129
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/icon-fonts/index.scss", "SCSS", 0, 0, 0, 1, 0, 0, 2, 1, 4
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/icon-fonts/vuestic-icons/vuestic-icons.scss", "SCSS", 0, 0, 0, 77, 0, 0, 0, 21, 98
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/icon-fonts/vuestic-icons/vuestic-icons.svg", "XML", 0, 0, 0, 0, 0, 67, 0, 1, 68
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/main.scss", "SCSS", 0, 0, 0, 47, 0, 0, 1, 13, 61
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/scss/vuestic-sass/index.scss", "SCSS", 0, 0, 0, 73, 0, 0, 0, 17, 90
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/toCSV.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/utils.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 1, 2, 16
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/vuestic-ui/global-config.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 2, 56
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/vuestic-ui/icons-config/aliases.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 1, 111
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/vuestic-ui/icons-config/icons-config.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/services/vuestic-ui/themes.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/billing-addresses.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 1, 3, 71
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/global-store.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/notifications.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 2, 55
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/payment-cards.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 2, 4, 68
"/Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src/stores/user-store.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"Total", "-", 2002, 4116, 379, 205, 103, 67, 175, 878, 7925